date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:53:16	158801/158801	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202020%2008:48:23%20GMT	https://2h-volta.my-free.website/	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/index.html	(from )
09:53:16	99/99	---MCZ	200	added ('OK')	text/plain	date:Tue,%2003%20Nov%202020%2008:48:23%20GMT	https://2h-volta.my-free.website/robots.txt		(from )
09:53:16	18917/18917	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20Nov%202020%2008:48:23%20GMT	https://2h-volta.my-free.website/home.8cc28c1c.js	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/home.8cc28c1c.js	(from https://2h-volta.my-free.website/)
09:53:16	1552736/1552736	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Nov%202020%2008:53:15%20GMT	https://2h-volta.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fstorage.googleapis.com%2Fproduction-websitebuilder-v1-0-9%2F589%2F505589%2FCDPSPLBg%2Fe8a125b0b7c04580ac4596a4c4eddf0c&methods=resize%2C2000%2C5000	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/s/cdn/v1.0/i/mbaba.png	(from https://2h-volta.my-free.website/)
09:53:16	63942/63942	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Nov%202020%2008:53:16%20GMT	https://2h-volta.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fstorage.googleapis.com%2Fproduction-websitebuilder-v1-0-9%2F589%2F505589%2FCDPSPLBg%2F8421f80421364b5c9c93d186e89c0b97&methods=resize%2C500%2C5000	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/s/cdn/v1.0/i/m0739.png	(from https://2h-volta.my-free.website/)
09:53:17	155087/155087	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202020%2008:48:26%20GMT	https://2h-volta.my-free.website/about	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/about.html	(from https://2h-volta.my-free.website/)
09:53:17	161082/161082	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202020%2008:48:31%20GMT	https://2h-volta.my-free.website/contattaci	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/contattaci.html	(from https://2h-volta.my-free.website/)
09:53:17	148677/148677	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Nov%202020%2008:53:17%20GMT	https://2h-volta.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fstorage.googleapis.com%2Fproduction-websitebuilder-v1-0-9%2F589%2F505589%2FCDPSPLBg%2F8421f80421364b5c9c93d186e89c0b97&methods=resize%2C1000%2C5000	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/s/cdn/v1.0/i/m33fc.png	(from https://2h-volta.my-free.website/)
09:53:18	789/789	---MCZ	200	added ('OK')	text/xml	date:Tue,%2003%20Nov%202020%2008:48:23%20GMT	https://2h-volta.my-free.website/sitemap.xml	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/sitemap.xml	(from https://2h-volta.my-free.website/)
09:53:18	1463506/1463506	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2030%20Oct%202020%2009:20:38%20GMT	https://runtime.builderservices.io/runtime-websitebuilder-16851/bundle.js	C:/My%20Web%20Sites/2h/runtime.builderservices.io/runtime-websitebuilder-16851/bundle.js	(from https://2h-volta.my-free.website/)
09:53:19	18917/18917	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20Nov%202020%2008:48:26%20GMT	https://2h-volta.my-free.website/about.63f9d3f6.js	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/about.63f9d3f6.js	(from https://2h-volta.my-free.website/about)
09:53:19	68122/68122	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Nov%202020%2008:53:19%20GMT	https://2h-volta.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1542587227-8802646daa56%3Fixlib%3Drb-1.2.1%26q%3D80%26fm%3Djpg%26crop%3Dentropy%26cs%3Dtinysrgb%26w%3D1000%26fit%3Dmax%26ixid%3DeyJhcHBfaWQiOjU1MTN9	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/s/cdn/v1.0/i/m396c.jpg	(from https://2h-volta.my-free.website/about)
09:53:20	29218/29218	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20Nov%202020%2008:48:31%20GMT	https://2h-volta.my-free.website/contattaci.328e5760.js	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/contattaci.328e5760.js	(from https://2h-volta.my-free.website/contattaci)
09:53:20	233706/233706	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Nov%202020%2008:53:20%20GMT	https://2h-volta.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1472289065668-ce650ac443d2%3Fixlib%3Drb-1.2.1%26q%3D80%26fm%3Djpg%26crop%3Dentropy%26cs%3Dtinysrgb%26w%3D2000%26fit%3Dmax%26ixid%3DeyJhcHBfaWQiOjU1MTN9	C:/My%20Web%20Sites/2h/2h-volta.my-free.website/s/cdn/v1.0/i/m66d7.jpg	(from https://2h-volta.my-free.website/contattaci)
